country_code,country,year,renewable_share,energy_use_per_capita,population,gdp_per_capita,total_energy_use,energy_intensity
GBR,United Kingdom,2018,10.2,2632.15067210726,66289000.0,47514.7763693453,174482635903.31818,0.05539646554677719
GBR,United Kingdom,2019,11.4,2515.97344619501,66631000.0,47864.7588712634,167641826693.41974,0.05256421437245612
GBR,United Kingdom,2020,13.6,2317.4085386833,66744000.0,42982.4631007642,154673115505.87817,0.053915210332422706
GBR,United Kingdom,2021,12.2,2377.26368887082,66984000.0,46487.3424706549,159238630935.323,0.051137870278806875
IDN,Indonesia,1990,59.2,461.47874965682,183501098.0,1470.91822258528,84681857265.69359,0.31373515031021015
IDN,Indonesia,1991,58.4,477.034665447769,186778238.0,1544.99580894527,89099694277.25377,0.3087611388236895
IDN,Indonesia,1992,57.5,489.759547327284,190043744.0,1617.10954872218,93075738033.82225,0.3028610818075287
IDN,Indonesia,1993,56.1,534.334769070592,193305168.0,1693.1074260189,103289672303.43198,0.315594132338669
IDN,Indonesia,1994,53.4,524.021858215958,196591828.0,1790.32729962455,103018415018.632,0.2926961222821384
IDN,Indonesia,1995,50.7,574.757187942779,199888057.0,1905.54236111238,114887097544.66591,0.3016239364037326
IDN,Indonesia,1996,49.3,587.218752078902,203204348.0,2020.99148132509,119325403649.56691,0.2905597363992273
IDN,Indonesia,1997,47.6,595.387791448216,206536095.0,2081.8416693962,122969069456.38893,0.28599090901129737
IDN,Indonesia,1998,48.9,567.577817932084,209826788.0,1780.20049544892,119093030476.73799,0.31882803054099573
IDN,Indonesia,1999,45.8,587.052743287001,213004668.0,1767.51466729756,125044974682.33688,0.3321345809167031
IDN,Indonesia,2000,45.6,585.786495774263,216077790.0,1828.10265968361,126575451418.74709,0.32043413572607854
IDN,Indonesia,2001,44.3,591.12494475388,219097902.0,1868.59172307292,129514235215.44101,0.3163478342833331
IDN,Indonesia,2002,44.7,606.322305750967,222088495.0,1926.37435868149,134657208369.1621,0.31474791128655033
IDN,Indonesia,2003,43.0,597.275615070065,225048008.0,1991.91820506473,134415687398.4929,0.2998494684929373
IDN,Indonesia,2004,41.5,634.752388297531,227926649.0,2065.70617470842,144676984809.40305,0.307281062558245
IDN,Indonesia,2005,41.6,637.329758271386,230871650.0,2155.4478015921,147141372886.21603,0.2956832254534899
IDN,Indonesia,2006,40.1,643.624656628862,233951652.0,2244.0802226202,150577051686.255,0.2868100035556494
IDN,Indonesia,2007,40.0,628.600516176574,237062337.0,2355.1528565328,149017507404.22495,0.26690433889797915
IDN,Indonesia,2008,41.1,632.507070175417,240157903.0,2464.60193418272,151901571606.00198,0.25663660382753084
IDN,Indonesia,2009,38.2,674.894542379565,243220028.0,2546.21969707767,164147869494.60498,0.2650574666255824
IDN,Indonesia,2010,36.0,669.112078931141,246305322.0,2670.8129098953,164805866055.2241,0.2505274991191245
IDN,Indonesia,2011,32.4,664.807893671477,249470032.0,2799.62468790318,165849646508.07596,0.2374632201751995
IDN,Indonesia,2012,30.1,680.546536439194,252698525.0,2930.518445323,171973105952.0431,0.23222735128158684
IDN,Indonesia,2013,30.6,696.192807739943,255852467.0,3055.24246006469,178122647367.9211,0.22786826801471008
IDN,Indonesia,2014,29.3,704.653772045539,258877399.0,3170.72103011429,182418935702.68805,0.22223770724482167
IDN,Indonesia,2015,26.6,698.660737586188,261799249.0,3288.22269725538,182908856405.8501,0.21247366796943148
IDN,Indonesia,2016,27.8,718.57953489745,264627418.0,3416.81005170972,190155846947.5531,0.21030713560968473
IDN,Indonesia,2017,25.2,755.351304203294,267346658.0,3553.51999262321,201940646794.69202,0.2125642477800423
IDN,Indonesia,2018,22.0,826.038659966956,269951846.0,3701.32155461912,222990661125.44604,0.22317397928750302
IDN,Indonesia,2019,19.8,844.870039441295,272489381.0,3850.90321738979,230218114072.80408,0.21939529293441004
IDN,Indonesia,2020,21.9,848.436766186593,274814866.0,3739.44906563161,233163036209.04187,0.22688817290877797
IDN,Indonesia,2021,20.2,896.813534898965,276758053.0,3850.68877253903,248200367822.68512,0.23289691477912736
IND,India,1990,53.0,323.595830731166,864972221.0,537.870269533789,279901404413.8767,0.6016243117725206
IND,India,1991,52.0,331.222087309417,883927600.0,531.898397841583,292776344702.40344,0.622716835872226
IND,India,1992,51.5,336.206818642044,902957070.0,549.235069966802,303580323875.04144,0.612136473117723
IND,India,1993,51.5,339.038033254784,922118387.0,563.372872328964,312633204356.5538,0.6018004236753759
IND,India,1994,50.5,347.806182247067,941163767.0,588.727892188017,327342576669.5381,0.5907757843006887
IND,India,1995,49.5,361.640673294246,960301044.0,620.699954330379,347283916117.3274,0.582633639282912
IND,India,1996,49.1,367.704650910734,979678458.0,654.355928429641,360232325403.6562,0.5619337044797189
IND,India,1997,47.9,376.185592059812,999133762.0,667.598423095039,375859725804.9173,0.5634908337796634
IND,India,1998,48.0,378.300390670302,1018665080.0,695.293709344799,385361397726.19446,0.5440871758019908
IND,India,1999,47.1,392.976731815711,1038225823.0,742.53920839445,407998590809.21686,0.5292336450022916
IND,India,2000,46.9,394.916803104241,1057922733.0,756.704109527449,417791463647.66156,0.5218906546587423
IND,India,2001,47.1,393.38088619861,1077898575.0,778.507377528365,424024696665.71893,0.5053014236647707
IND,India,2002,45.8,397.344252941148,1097600380.0,793.615912906381,436125203019.02014,0.5006757632744453
IND,India,2003,45.6,399.699897139001,1116803006.0,841.278894571674,446386046622.7271,0.4751098591894462
IND,India,2004,44.9,415.47995649887,1135991513.0,892.596614581612,471981704404.32556,0.4654733725307915
IND,India,2005,44.2,425.369642526643,1154676322.0,947.732565646672,491164254323.11896,0.4488287708425404
IND,India,2006,43.2,441.785886693878,1172878890.0,1008.23275343783,518161340403.1814,0.4381784713772638
IND,India,2007,41.5,461.201738250187,1190676021.0,1069.24696813025,549141850578.0162,0.43133322047821404
IND,India,2008,39.4,481.553027437162,1207930964.0,1086.50605251513,581682812649.2896,0.4432124665319857
IND,India,2009,37.4,509.446000134302,1225524753.0,1155.10163274172,624338683481.4283,0.44103997924848726
IND,India,2010,36.2,531.86706609011,1243481564.0,1235.15939133951,661366891181.8214,0.4306060171823727
IND,India,2011,35.0,546.675890208969,1261224954.0,1281.61054354933,689481274481.716,0.4265538333470546
IND,India,2012,34.8,572.133085479526,1278674502.0,1333.09626557668,731571988153.2563,0.42917612197497884
IND,India,2013,34.9,577.254621645988,1295829511.0,1399.4537980287,748023574090.0106,0.4124856586613441
IND,India,2014,33.9,610.165371779455,1312277191.0,1484.31640682913,800706100124.2139,0.41107500326222246
IND,India,2015,33.4,622.339883988149,1328024498.0,1583.99815907985,826482612018.7399,0.3928917975193029
IND,India,2016,33.0,627.273531026365,1343944296.0,1694.46534973825,843020684054.6624,0.37018964779850005
IND,India,2017,32.5,648.014718317903,1359657400.0,1788.69770318446,881078007069.8523,0.362282971104747
IND,India,2018,32.9,668.303370218852,1374659064.0,1883.35772705062,918689285373.0927,0.3548467508960339
IND,India,2019,33.5,666.977347524506,1389030312.0,1936.03067741067,926451753128.897,0.34450763374088156
IND,India,2020,36.1,632.239828540427,1402617695.0,1806.50110583878,886790770994.5688,0.3499803163679053
IND,India,2021,34.9,676.814293488143,1414203896.0,1965.30943437506,957153410719.4193,0.34438052433374705
ITA,Italy,1990,3.8,2584.07898755354,56719240.0,27625.1792306413,146566996274.00626,0.09354071392548038
ITA,Italy,1991,4.7,2645.87384365211,56758521.0,28030.7653841073,150175886118.279,0.09439178015282629
ITA,Italy,1992,4.8,2627.54011715057,56797087.0,28245.4271054692,149236624629.7911,0.09302532786419773
ITA,Italy,1993,4.8,2612.19400052933,56831821.0,27987.4328969281,148455741855.35678,0.09333453375840141
ITA,Italy,1994,5.2,2578.66204057136,56843400.0,28583.6255328648,146579917837.01407,0.09021465935475798
ITA,Italy,1995,4.5,2799.59479171327,56844303.0,29408.3209572297,159141014617.371,0.09519736933587232
ITA,Italy,1996,4.8,2796.38058021046,56860281.0,29795.6597750915,159002985573.70978,0.09385194358233917
ITA,Italy,1997,4.8,2834.63680923621,56890372.0,30353.3778243995,161263542562.34103,0.09338785375503061
ITA,Italy,1998,4.8,2913.20022573948,56906744.0,30892.1758654455,165780739466.8988,0.09430220255213702
ITA,Italy,1999,5.0,2957.58654940452,56916317.0,31405.2609007683,168334933600.84384,0.09417487594672923
ITA,Italy,2000,5.1,3012.48356350836,56942108.0,32609.66746283,171537164421.51788,0.09238007615202233
ITA,Italy,2001,5.4,3020.75373063924,56976981.0,33243.599343976,172113427916.3111,0.09086722828605574
ITA,Italy,2002,5.6,3035.91851152815,57089824.0,33267.4474482048,173320053501.48404,0.09125793363782636
ITA,Italy,2003,6.2,3164.10814422149,57399184.0,33110.1698494812,181617225566.06784,0.09556302968560786
ITA,Italy,2004,5.9,3162.43494730256,57828179.0,33348.9744820456,182877854208.46802,0.09482855159474692
ITA,Italy,2005,6.7,3204.1351997897,58166682.0,33407.6754716472,186373913251.17395,0.0959101510223009
ITA,Italy,2006,7.5,3162.24131154867,58399861.0,33873.0493680093,184674453042.90002,0.09335567274126738
ITA,Italy,2007,8.7,3132.89653716264,58756247.0,34159.9109244074,184077242762.97275,0.09171266705277538
ITA,Italy,2008,10.8,3067.89962633863,59211181.0,33550.6340800063,181653960064.96896,0.09144088362153703
ITA,Italy,2009,12.5,2848.10100531328,59555454.0,31587.0638416305,169619948409.2888,0.09016669037657105
ITA,Italy,2010,12.8,2904.35856014464,59819407.0,31928.5543621096,173737006783.2262,0.0909642988281146
ITA,Italy,2011,11.9,2798.23628262725,60026841.0,32039.5032494316,167969284417.69702,0.08733706826983631
ITA,Italy,2012,14.4,2680.46208450702,60191247.0,30953.4147447427,161340355402.6969,0.08659665198852687
ITA,Italy,2013,16.3,2576.45615324387,60311613.0,30330.0221599668,155390226425.913,0.08494738776170714
ITA,Italy,2014,17.1,2433.16257781775,60320707.0,30325.0287793923,146770086939.90918,0.08023611768082581
ITA,Italy,2015,16.6,2533.02354460955,60229605.0,30639.8829751432,152563007547.53308,0.08267079696957333
ITA,Italy,2016,16.1,2511.46353090755,60115223.0,31077.6792675211,150977190216.8748,0.08081245415040529
ITA,Italy,2017,16.4,2557.32535513975,60002252.0,31635.52277108,153445280405.08478,0.0808371454344216
ITA,Italy,2018,17.1,2503.3498604998,60148658.0,31819.3971830067,150573134613.55017,0.07867370478774267
ITA,Italy,2019,17.3,2494.02659804115,59729081.0,32180.4341017428,148965916690.5543,0.07750133482214526
ITA,Italy,2020,18.7,2313.10006204514,59438851.0,29469.7989238626,137488009935.99182,0.07849052747258999
ITA,Italy,2021,17.5,2531.08698798735,59133173.0,32267.7091050201,149671204738.7049,0.07844024438640956
JPN,Japan,1990,4.3,3538.39176035754,123478000.0,28422.2131194472,436913537785.42834,0.12449388601398119
JPN,Japan,1991,4.5,3560.89610232943,123964000.0,29308.2740881269,441422924429.16547,0.12149798011381326
JPN,Japan,1992,4.0,3626.46889746532,124425000.0,29462.6539671073,451223392567.12244,0.12308697313941856
JPN,Japan,1993,4.2,3636.46948341282,124829000.0,29232.4397928009,453936849144.9389,0.12439842548853472
JPN,Japan,1994,3.3,3823.87113500931,125178000.0,29466.7552451648,478664540938.1954,0.12976899231674885
JPN,Japan,1995,3.7,3915.67795216885,125472000.0,30171.1637924153,491307944014.52997,0.1297821316774399
JPN,Japan,1996,3.6,3990.47398761077,125757000.0,31046.1701544217,501830037259.9676,0.12853353466023035
JPN,Japan,1997,3.8,4022.0891472937,126057000.0,31276.1930771989,507012491640.402,0.12859906374685673
JPN,Japan,1998,3.8,3938.28293836089,126400000.0,30795.0888900919,497798963408.8165,0.12788672091243758
JPN,Japan,1999,3.7,3994.22367709485,126631000.0,30636.2661169604,505792538454.19794,0.1303756685571949
JPN,Japan,2000,3.7,4067.03534426909,126843000.0,31430.631130325,515874964173.12415,0.12939718987523352
JPN,Japan,2001,3.5,3990.10602386433,127149000.0,31476.0520665746,507337990828.3257,0.12676640689959806
JPN,Japan,2002,3.7,3992.91998129661,127445000.0,31416.1241772309,508877687016.34644,0.12709779089142104
JPN,Japan,2003,4.2,3956.90048891144,127718000.0,31830.217584972,505367416642.79126,0.12431270626247969
JPN,Japan,2004,4.3,4085.4919552124,127761000.0,32515.1158024695,521966537689.8915,0.1256490052205845
JPN,Japan,2005,4.0,4066.44200433533,127773000.0,33098.5474664881,519581494219.9381,0.12285862418743772
JPN,Japan,2006,4.4,4064.36044717698,127854000.0,33531.518563066,519644740613.3656,0.12121015156330427
JPN,Japan,2007,4.3,4020.80546615948,128001000.0,33990.0360341367,514667120473.87964,0.11829365117828429
JPN,Japan,2008,4.4,3867.13557310575,128063000.0,33557.6454041595,495236982898.64166,0.11523858502379954
JPN,Japan,2009,4.5,3709.02326188514,128047000.0,31651.0837739562,474929301614.6065,0.11718471596025015
JPN,Japan,2010,4.7,3900.21212768124,128070000.0,32942.2020783835,499500167192.1364,0.11839561054239717
JPN,Japan,2011,4.8,3620.18019068219,127833000.0,33011.1342301291,462778494315.47644,0.10966542880486879
JPN,Japan,2012,4.7,3536.70253450885,127629000.0,33518.4449368599,451385807776.83,0.10551511387748103
JPN,Japan,2013,5.0,3567.33780517627,127445000.0,34239.8862473488,454639366580.68976,0.104186613804901
JPN,Japan,2014,5.6,3445.81632921551,127276000.0,34386.9058552671,438569719117.2333,0.10020722258986581
JPN,Japan,2015,6.2,3400.59271053608,127141000.0,34960.6393843385,432354757810.26776,0.0972691795808363
JPN,Japan,2016,6.4,3370.8877963853,127076000.0,35242.199377148,428358937613.4584,0.09564918920954393
JPN,Japan,2017,6.9,3391.05041453219,126972000.0,35861.9728545672,430568453233.98126,0.09455838997715162
JPN,Japan,2018,7.3,3343.05412833973,126811000.0,36138.5290824814,423936037068.8895,0.09250664631949054
JPN,Japan,2019,7.8,3261.62024942915,126633000.0,36043.7844013518,413028757045.96155,0.09049050491232062
JPN,Japan,2020,8.5,3046.85480668859,126261000.0,34642.9718743239,384698934747.30804,0.08795015675161538
JPN,Japan,2021,8.8,3196.03970960845,125681593.0,35741.1601062924,401683361994.84735,0.08942182346917642
KOR,"Korea, Rep.",1990,1.6,2088.02162760717,42869283.0,9672.57845182894,89511990064.01239,0.21587021888794877
KOR,"Korea, Rep.",1991,1.0,2259.93752469834,43295704.0,10618.8431439122,97845586127.83202,0.2128233268041035
KOR,"Korea, Rep.",1992,0.8,2545.85498921945,43747962.0,11176.560685871,111375967325.88292,0.22778518909111523
KOR,"Korea, Rep.",1993,0.7,2824.86789707394,44194628.0,11837.4692053797,124843985860.32507,0.23863782435777237
KOR,"Korea, Rep.",1994,0.4,2968.99819252669,44641540.0,12817.2447824958,132540651571.60794,0.2316409058974499
KOR,"Korea, Rep.",1995,0.4,3234.29761074072,45092991.0,13924.3044000347,145844153052.4528,0.23227714058970586
KOR,"Korea, Rep.",1996,0.6,3460.92201688076,45524681.0,14894.3278834104,157557370784.37323,0.23236510193491874
KOR,"Korea, Rep.",1997,0.7,3675.46830349413,45953580.0,15682.2717905189,168900926722.0818,0.23437090955892143
KOR,"Korea, Rep.",1998,0.9,3374.34870324412,46286503.0,14800.5091573641,156186801375.75507,0.2279886906164433
KOR,"Korea, Rep.",1999,0.8,3665.80037287776,46616677.0,16402.9168341094,170887431928.9221,0.2234846649502503
KOR,"Korea, Rep.",2000,0.7,3952.36285253717,47008111.0,17763.1353417297,185793111684.34393,0.22250367271886728
KOR,"Korea, Rep.",2001,0.7,3923.08094343002,47370164.0,18460.4288193829,185836987675.55478,0.21251299099351914
KOR,"Korea, Rep.",2002,0.7,4093.47640135718,47644736.0,19775.3800655139,195032602464.89288,0.2069986209011353
KOR,"Korea, Rep.",2003,0.8,4137.64649746404,47892330.0,20278.0406421178,198161531479.89197,0.20404567534350854
KOR,"Korea, Rep.",2004,0.8,4255.20021526328,48082519.0,21244.8136800528,204600745199.20078,0.2002936000920816
KOR,"Korea, Rep.",2005,0.9,4324.50929706891,48184561.0,22123.7613066851,208374582019.68402,0.19546899087914948
KOR,"Korea, Rep.",2006,0.9,4337.55103463972,48438292.0,23162.1860111297,210103563580.78085,0.18726863831226792
KOR,"Korea, Rep.",2007,1.0,4487.98132629667,48683638.0,24391.7651013448,218491258240.18695,0.18399575871814344
KOR,"Korea, Rep.",2008,1.1,4512.96932152779,49054708.0,24934.5396367691,221382392280.50388,0.1809926867417617
KOR,"Korea, Rep.",2009,1.2,4557.69756825002,49307835.0,25009.9148311999,224730199675.17322,0.18223562930987217
KOR,"Korea, Rep.",2010,1.3,4920.34159542887,49554112.0,26623.0487122927,243823158498.14093,0.18481510696244918
KOR,"Korea, Rep.",2011,1.4,5114.96282558864,49936638.0,27393.455357272,255424047004.87704,0.1867220749948508
KOR,"Korea, Rep.",2012,1.6,5122.94213308196,50199853.0,27944.0564190045,257170942008.2208,0.18332850665152153
